Date,AAPL,GOOGL,MSFT
2023-05-12,171.45989990234375,117.37528991699219,305.35272216796875
2023-05-15,170.96311950683594,116.37643432617188,305.8369445800781
2023-05-16,170.96311950683594,119.37300109863281,308.09027099609375
2023-05-17,171.57916259765625,120.70146942138672,311.002197265625
2023-05-18,173.92393493652344,122.68919372558594,315.47906494140625
2023-05-19,174.0332489013672,122.61927032470703,315.3007507324219
2023-05-22,173.0793914794922,124.90664672851562,318.1136169433594
2023-05-23,170.45639038085938,122.41949462890625,312.2501525878906
2023-05-24,170.73458862304688,120.76140594482422,310.8536071777344
2023-05-25,171.87721252441406,123.33844757080078,322.80841064453125
2023-05-26,174.30149841308594,124.46714782714844,329.71185302734375
2023-05-30,176.1594696044922,123.52822875976562,328.04791259765625
2023-05-31,176.1098175048828,122.7291488647461,325.2548522949219
